competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_World_Record_Breaker,Probability_World_Record_Breaker,World_Record_Correct,Actual_World_Record_Breaker,Actual_National_Record_Breaker,Actual_Personal_Best_Breaker
Bradley NKOANA,200-metres,male,RSA,20.51,No,5.8272424e-05,Yes,No,No,Unknown
Gediminas TRUSKAUSKAS,200-metres,male,LTU,20.51,No,5.8272424e-05,Yes,No,No,No
Ali AL BALUSHI,200-metres,male,OMA,20.51,No,5.8272424e-05,Yes,No,Yes,Unknown
Ajani DWYER,200-metres,male,USA,20.51,No,5.8272424e-05,Yes,No,No,Unknown
Soshi MIZUKUBO,200-metres,male,JPN,20.51,No,5.8272424e-05,Yes,No,No,No
Ronal LONGA,200-metres,male,COL,20.51,No,5.8272424e-05,Yes,No,No,Unknown
Ethan HARBIAS-WILTSHIRE,200-metres,male,GBR,20.51,No,5.8272424e-05,Yes,No,No,Unknown
Gediminas TRUSKAUSKAS,200-metres,male,LTU,20.51,No,5.8272424e-05,Yes,No,No,No
Udeme OKON,200-metres,male,RSA,20.51,No,5.8272424e-05,Yes,No,No,Unknown
Bryan LEVELL,200-metres,male,JAM,20.51,No,5.8272424e-05,Yes,No,No,No
Jaelen MEANS,200-metres,male,USA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Carlos FLOREZ ANGULO,200-metres,male,COL,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Gediminas TRUSKAUSKAS,200-metres,male,LTU,20.52,No,5.8272424e-05,Yes,No,No,No
Delvis SANTOS,200-metres,male,POR,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Abdurahman KARRIEM,200-metres,male,RSA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Tory LANHAM,200-metres,male,USA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Xavi MO-AJOK,200-metres,male,NED,20.52,No,5.8272424e-05,Yes,No,No,Yes
Ian JOHNSON,200-metres,male,USA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Bayanda WALAZA,200-metres,male,RSA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Tory LANHAM,200-metres,male,USA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Enoch FOSUHENE,200-metres,male,GHA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Aidan MURPHY,200-metres,male,AUS,20.52,No,5.8272424e-05,Yes,No,No,No
Shavique BASCUS,200-metres,male,USA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Eckhart POTGIETER,200-metres,male,RSA,20.52,No,5.8272424e-05,Yes,No,No,Yes
Jaiden REID,200-metres,male,CAY,20.52,No,5.8272424e-05,Yes,No,Yes,Unknown
Singhapurage Aruna DHARSHANA,200-metres,male,SRI,20.52,No,5.8272424e-05,Yes,No,No,Yes
Adrian KERR,200-metres,male,JAM,20.52,No,5.8272424e-05,Yes,No,No,Yes
Andrey LUKIN,200-metres,male,RUS,20.52,No,5.8272424e-05,Yes,No,No,Yes
Jaime SANCHO,200-metres,male,ESP,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Denzel SIMUSIALELA,200-metres,male,ZIM,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Ibrahim FUSEINI,200-metres,male,GHA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Ian JOHNSON,200-metres,male,USA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Bayanda WALAZA,200-metres,male,RSA,20.52,No,5.8272424e-05,Yes,No,No,Unknown
Ján VOLKO,200-metres,male,SVK,20.53,No,5.8272424e-05,Yes,No,No,No
Gary CARD,200-metres,male,JAM,20.53,No,5.8272424e-05,Yes,No,No,Unknown
Max THOMAS,200-metres,male,USA,20.53,No,5.8272424e-05,Yes,No,No,Yes
Jona EFOLOKO,200-metres,male,GBR,20.53,No,5.8272424e-05,Yes,No,No,No
Adrian CANALES,200-metres,male,PUR,20.53,No,5.8272424e-05,Yes,No,No,Unknown
Yudai NISHI,200-metres,male,JPN,20.53,No,5.8272424e-05,Yes,No,No,No
Joseph FAHNBULLEH,200-metres,male,LBR,20.53,No,5.8272424e-05,Yes,No,No,No
Ferdinand OMANYALA,200-metres,male,KEN,20.53,No,5.8272424e-05,Yes,No,No,No
Ilya SAZONOV,200-metres,male,RUS,20.53,No,5.8272424e-05,Yes,No,No,Unknown
Qingchi SUN,200-metres,male,CHN,20.53,No,5.8272424e-05,Yes,No,No,Unknown
Javonte' HARDING,200-metres,male,USA,20.53,No,5.8272424e-05,Yes,No,No,No
Filippo TORTU,200-metres,male,ITA,20.53,No,5.8272424e-05,Yes,No,No,No
José FIGUEROA,200-metres,male,PUR,20.53,No,5.8272424e-05,Yes,No,No,Yes
Tsebo MATSOSO,200-metres,male,RSA,20.53,No,5.8272424e-05,Yes,No,No,No
Alejandro CARDENAS,200-metres,male,MEX,20.53,No,5.8272424e-05,Yes,No,No,Unknown
Alejandro CARDENAS,200-metres,male,MEX,20.53,No,5.8272424e-05,Yes,No,No,Unknown
Gary CARD,200-metres,male,JAM,20.53,No,5.8272424e-05,Yes,No,No,Unknown
T'Mars MCCALLUM,200-metres,male,USA,20.53,No,5.8272424e-05,Yes,No,No,Unknown
Omari LEWIS,200-metres,male,TTO,20.53,No,5.8272424e-05,Yes,No,No,Unknown
Trayvion WHITE-AUSTIN,200-metres,male,USA,20.53,No,5.8272424e-05,Yes,No,No,No
Connor WASHINGTON,200-metres,male,USA,20.53,No,5.8272424e-05,Yes,No,No,No
Eckhart POTGIETER,200-metres,male,RSA,20.53,No,5.8272424e-05,Yes,No,No,No
Oblique SEVILLE,200-metres,male,JAM,20.53,No,5.8272424e-05,Yes,No,No,Unknown
Joseph Paul AMOAH,200-metres,male,GHA,20.54,No,5.8272424e-05,Yes,No,No,No
Gerardo LOMELI PONCE,200-metres,male,MEX,20.54,No,5.8272424e-05,Yes,No,No,Unknown
Bradley NKOANA,200-metres,male,RSA,20.54,No,5.8272424e-05,Yes,No,No,Unknown
Seunghwan KO,200-metres,male,KOR,20.54,No,5.8272424e-05,Yes,No,No,No
Shota IIZUKA,200-metres,male,JPN,20.54,No,5.8272424e-05,Yes,No,No,No
Trelee BANKS-ROSE,200-metres,male,USA,20.54,No,5.8272424e-05,Yes,No,No,Unknown
Jayden JONES,200-metres,male,USA,20.54,No,5.8272424e-05,Yes,No,No,Unknown
Cameron TARVER,200-metres,male,USA,20.54,No,5.8272424e-05,Yes,No,No,Unknown
Godiraone Kevin LOBATLAMANG,200-metres,male,BOT,20.54,No,5.8272424e-05,Yes,No,No,Unknown
Wiseman Were MUKHOBE,200-metres,male,KEN,20.54,No,5.8272424e-05,Yes,No,No,Unknown
Robert GREGORY,200-metres,male,USA,20.54,No,5.8272424e-05,Yes,No,No,No
Garrett KAALUND,200-metres,male,USA,20.54,No,5.8272424e-05,Yes,No,No,Yes
Bayanda WALAZA,200-metres,male,RSA,20.54,No,5.8272424e-05,Yes,No,No,Unknown
Erriyon KNIGHTON,200-metres,male,USA,20.54,No,5.8272424e-05,Yes,No,No,No
Calab LAW,200-metres,male,AUS,20.54,No,5.8272424e-05,Yes,No,No,No
Bayanda WALAZA,200-metres,male,RSA,20.54,No,5.8272424e-05,Yes,No,No,Unknown
Udodi Chudi ONWUZURIKE,200-metres,male,NGR,20.54,No,5.8272424e-05,Yes,No,No,No
Delvis SANTOS,200-metres,male,POR,20.54,No,5.8272424e-05,Yes,No,No,Unknown
Aidan MURPHY,200-metres,male,AUS,20.54,No,5.8272424e-05,Yes,No,No,No
Trayvon BROMELL,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,No
Jacory PATTERSON,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,No
Cameron TARVER,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Bradley LESTRADE,200-metres,male,SUI,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Adria ALFONSO,200-metres,male,ESP,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Xavi MO-AJOK,200-metres,male,NED,20.55,No,5.8272424e-05,Yes,No,No,Yes
Deron DUDLEY,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Johnathan CRAWFORD,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Brice CHABOT,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,No
Joseph TAYLOR,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Animesh KUJUR,200-metres,male,IND,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Aaron CHARLES,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Nick BIEGA,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Jazonte LEVAN,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Cameron TARVER,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Abdul-Rasheed SAMINU,200-metres,male,GHA,20.55,No,5.8272424e-05,Yes,No,No,No
Tomáš NĚMEJC,200-metres,male,CZE,20.55,No,5.8272424e-05,Yes,No,No,No
Ajani DWYER,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Joseph TAYLOR,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Animesh KUJUR,200-metres,male,IND,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Dario MATAU,200-metres,male,RSA,20.55,No,5.8272424e-05,Yes,No,No,Yes
Andrey LUKIN,200-metres,male,RUS,20.55,No,5.8272424e-05,Yes,No,No,Yes
Makanakaishe CHARAMBA,200-metres,male,ZIM,20.55,No,5.8272424e-05,Yes,No,No,No
Kashii CROCKETT,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Ajani DWYER,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Jaelen MEANS,200-metres,male,USA,20.55,No,5.8272424e-05,Yes,No,No,Unknown
Xavi MO-AJOK,200-metres,male,NED,20.56,No,5.8272424e-05,Yes,No,No,Yes
Muzala SAMUKONGA,200-metres,male,ZAM,20.56,No,5.8272424e-05,Yes,No,No,No
Cameron MILLER,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,No
Cesar ALMIRÓN,200-metres,male,PAR,20.56,No,5.8272424e-05,Yes,No,No,No
Adria ALFONSO,200-metres,male,ESP,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Trayvion WHITE-AUSTIN,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,No
Qingchi SUN,200-metres,male,CHN,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Junhao SHI,200-metres,male,CHN,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Jaiden REID,200-metres,male,CAY,20.56,No,5.8272424e-05,Yes,No,Yes,Unknown
Ian KERR,200-metres,male,BAH,20.56,No,5.8272424e-05,Yes,No,No,No
Ronal LONGA,200-metres,male,COL,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Nathan KENT,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Derrick WILLIAMS,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Jared SYLVESTER,200-metres,male,GRN,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Ian MYERS,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Zablon Ekhal EKWAM,200-metres,male,KEN,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Kahleje TILLMON,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,No
Javin BOSTIC,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Tapiwanashe MAKARAWU,200-metres,male,ZIM,20.56,No,5.8272424e-05,Yes,No,No,No
Connor WASHINGTON,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,No
Judson LINCOLN,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Garrett KAALUND,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,Yes
Ian DOSSMAN,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Jazonte LEVAN,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,Unknown
Sam BLASKOWSKI,200-metres,male,USA,20.56,No,5.8272424e-05,Yes,No,No,Yes
Quoi ELLIS,200-metres,male,USA,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Erik ERLANDSSON,200-metres,male,SWE,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Gilles Anthony AFOUMBA,200-metres,male,CGO,20.57,No,5.8272424e-05,Yes,No,Unknown,Unknown
Onyema ADIGIDA,200-metres,male,NED,20.57,No,5.8272424e-05,Yes,No,No,Yes
William BATLEY,200-metres,male,CAN,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Makanakaishe CHARAMBA,200-metres,male,ZIM,20.57,No,5.8272424e-05,Yes,No,No,No
Jona EFOLOKO,200-metres,male,GBR,20.57,No,5.8272424e-05,Yes,No,No,No
Shota IIZUKA,200-metres,male,JPN,20.57,No,5.8272424e-05,Yes,No,No,No
Arturo Harmodio DELISER,200-metres,male,PAN,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Jaime SANCHO,200-metres,male,ESP,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Abdul-Rasheed SAMINU,200-metres,male,GHA,20.57,No,5.8272424e-05,Yes,No,No,No
Tyson WILLIAMS,200-metres,male,USA,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Cameron MILLER,200-metres,male,USA,20.57,No,5.8272424e-05,Yes,No,No,No
Auhmad ROBINSON,200-metres,male,USA,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Andoni CALBANO,200-metres,male,ESP,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Kadrian GOLDSON,200-metres,male,JAM,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Adria ALFONSO,200-metres,male,ESP,20.57,No,5.8272424e-05,Yes,No,No,Unknown
William BATLEY,200-metres,male,CAN,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Karlo MARCIUŠ,200-metres,male,CRO,20.57,No,5.8272424e-05,Yes,No,Unknown,Unknown
Ismael KONE,200-metres,male,CIV,20.57,No,5.8272424e-05,Yes,No,No,No
Mihlali XHOTYENI,200-metres,male,RSA,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Jelani WATKINS,200-metres,male,USA,20.57,No,5.8272424e-05,Yes,No,No,No
Pedro RIVAS,200-metres,male,PUR,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Benjamin RICHARDSON,200-metres,male,RSA,20.57,No,5.8272424e-05,Yes,No,No,No
Kimarlie STEWART,200-metres,male,JAM,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Rusheen MCDONALD,200-metres,male,JAM,20.57,No,5.8272424e-05,Yes,No,No,No
Shemar PALMER,200-metres,male,JAM,20.57,No,5.8272424e-05,Yes,No,No,Unknown
Joseph FAHNBULLEH,200-metres,male,LBR,20.58,No,5.8272424e-05,Yes,No,No,No
Bradley NKOANA,200-metres,male,RSA,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Eduard KUBELÍK,200-metres,male,CZE,20.58,No,5.8272424e-05,Yes,No,No,No
Max HUSEMANN,200-metres,male,GER,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Andoni CALBANO,200-metres,male,ESP,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Konstantin KRYLOV,200-metres,male,RUS,20.58,No,5.8272424e-05,Yes,No,No,No
Sinesipho DAMBILE,200-metres,male,RSA,20.58,No,5.8272424e-05,Yes,No,No,No
Mitsuhiro NUMATA,200-metres,male,JPN,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Mthi MTHIMKULU,200-metres,male,RSA,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Youwen HUANG,200-metres,male,CHN,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Mamadou Fall SARR,200-metres,male,SEN,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Brody BUFFINGTON,200-metres,male,USA,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Jaleel CROAL,200-metres,male,IVB,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Jaeseong LEE,200-metres,male,KOR,20.58,No,5.8272424e-05,Yes,No,No,Yes
Andre DE GRASSE,200-metres,male,CAN,20.58,No,5.8272424e-05,Yes,No,No,No
Cameron TARVER,200-metres,male,USA,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Anthony GREENHOW,200-metres,male,USA,20.58,No,5.8272424e-05,Yes,No,No,Yes
Benjamin RICHARDSON,200-metres,male,RSA,20.58,No,5.8272424e-05,Yes,No,No,No
Tsebo MATSOSO,200-metres,male,RSA,20.58,No,5.8272424e-05,Yes,No,No,No
Animesh KUJUR,200-metres,male,IND,20.58,No,5.8272424e-05,Yes,No,No,Unknown
Wanya MCCOY,200-metres,male,BAH,20.59,No,5.8272424e-05,Yes,No,No,No
José GONZÁLEZ,200-metres,male,DOM,20.59,No,5.8272424e-05,Yes,No,No,No
Adrian CANALES,200-metres,male,PUR,20.59,No,5.8272424e-05,Yes,No,No,Unknown
Blessing Akwasi AFRIFAH,200-metres,male,ISR,20.59,No,5.8272424e-05,Yes,No,No,No
Timothé MUMENTHALER,200-metres,male,SUI,20.59,No,5.8272424e-05,Yes,No,No,No
Miguel ROSARIO,200-metres,male,USA,20.59,No,5.8272424e-05,Yes,No,No,Unknown
Mekhi DUPREE,200-metres,male,USA,20.59,No,5.8272424e-05,Yes,No,No,Unknown
Antoine ANDREWS,200-metres,male,BAH,20.59,No,5.8272424e-05,Yes,No,No,Unknown
Tory LANHAM,200-metres,male,USA,20.59,No,5.8272424e-05,Yes,No,No,Unknown
Trelee BANKS-ROSE,200-metres,male,USA,20.59,No,5.8272424e-05,Yes,No,No,Unknown
Aaron BROWN,200-metres,male,CAN,20.59,No,5.8272424e-05,Yes,No,No,No
William REAIS,200-metres,male,SUI,20.59,No,5.8272424e-05,Yes,No,No,No
Ilya SAZONOV,200-metres,male,RUS,20.59,No,5.8272424e-05,Yes,No,No,Unknown
Ronal LONGA,200-metres,male,COL,20.59,No,5.8272424e-05,Yes,No,No,Unknown
Ryan ZEZE,200-metres,male,FRA,20.59,No,5.8272424e-05,Yes,No,No,No
Justin RAINES,200-metres,male,USA,20.59,No,5.8272424e-05,Yes,No,No,Yes
Tsebo MATSOSO,200-metres,male,RSA,20.59,No,5.8272424e-05,Yes,No,No,No
Eckhart POTGIETER,200-metres,male,RSA,20.59,No,5.8272424e-05,Yes,No,No,No
Drew DONLEY,200-metres,male,USA,20.59,No,5.8272424e-05,Yes,No,No,Unknown
Mitsuhiro NUMATA,200-metres,male,JPN,20.59,No,5.8272424e-05,Yes,No,No,Unknown
Justice ORATILE,200-metres,male,BOT,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Jalen JOHNSON,200-metres,male,USA,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Jahde WILLIAMS,200-metres,male,GBR,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Youwen HUANG,200-metres,male,CHN,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Ji CHANG,200-metres,male,CHN,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Eliezer ADJIBI,200-metres,male,CAN,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Joseph Paul AMOAH,200-metres,male,GHA,20.6,No,5.8272424e-05,Yes,No,No,No
Jaeseong LEE,200-metres,male,KOR,20.6,No,5.8272424e-05,Yes,No,No,Yes
Konstantin KRYLOV,200-metres,male,RUS,20.6,No,5.8272424e-05,Yes,No,No,No
Tyquendo TRACEY,200-metres,male,JAM,20.6,No,5.8272424e-05,Yes,No,No,No
Nethaneel MITCHELL-BLAKE,200-metres,male,GBR,20.6,No,5.8272424e-05,Yes,No,No,No
Jona EFOLOKO,200-metres,male,GBR,20.6,No,5.8272424e-05,Yes,No,No,No
Guy MAGANGA GORRA,200-metres,male,GAB,20.6,No,5.8272424e-05,Yes,No,No,No
Justice ORATILE,200-metres,male,BOT,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Anthony EAST,200-metres,male,USA,20.6,No,5.8272424e-05,Yes,No,No,No
Zablon Ekhal EKWAM,200-metres,male,KEN,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Jalen JOHNSON,200-metres,male,USA,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Letlhogonolo MOLEYANE,200-metres,male,RSA,20.6,No,5.8272424e-05,Yes,No,No,No
Elijah HALL,200-metres,male,USA,20.6,No,5.8272424e-05,Yes,No,No,No
Jordan ANTHONY,200-metres,male,USA,20.6,No,5.8272424e-05,Yes,No,No,No
Nathan METELLUS,200-metres,male,USA,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Jaleel CROAL,200-metres,male,IVB,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Auhmad ROBINSON,200-metres,male,USA,20.6,No,5.8272424e-05,Yes,No,No,Unknown
Dario MATAU,200-metres,male,RSA,20.6,No,5.8272424e-05,Yes,No,No,Yes
Dario MATAU,200-metres,male,RSA,20.6,No,5.8272424e-05,Yes,No,No,Yes
Kyree KING,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,No
Jalen JOHNSON,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Myles RHODES,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Eckhart POTGIETER,200-metres,male,RSA,20.61,No,5.8272424e-05,Yes,No,No,No
Jabez REEVES,200-metres,male,LBR,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Jelani WATKINS,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,No
Ji CHANG,200-metres,male,CHN,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Claude ITOUNGUE BOGOGNIE,200-metres,male,CMR,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Antoine SPENCER,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Emmanuel ESEME,200-metres,male,CMR,20.61,No,5.8272424e-05,Yes,No,No,No
Marcus LAWLER,200-metres,male,IRL,20.61,No,5.8272424e-05,Yes,No,No,No
Shaun MASWANGANYI,200-metres,male,RSA,20.61,No,5.8272424e-05,Yes,No,No,No
Neiker ABELLO,200-metres,male,COL,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Demarius SMITH,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,No
Emmanuel ESEME,200-metres,male,CMR,20.61,No,5.8272424e-05,Yes,No,No,No
Alaba Olukunle AKINTOLA,200-metres,male,NGR,20.61,No,5.8272424e-05,Yes,No,No,No
Demarius SMITH,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,No
Ross WALROND,200-metres,male,BAR,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Abdulaziz Abdui ATAFI,200-metres,male,KSA,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Tristyn FLORES,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Souta MIWA,200-metres,male,JPN,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Johnathan CRAWFORD,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Connor WASHINGTON,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,No
Neiker ABELLO,200-metres,male,COL,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Demar FRANCIS,200-metres,male,JAM,20.61,No,5.8272424e-05,Yes,No,No,No
Kashii CROCKETT,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Shota IIZUKA,200-metres,male,JPN,20.61,No,5.8272424e-05,Yes,No,No,No
Simon VERHERSTRAETEN,200-metres,male,BEL,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Arnaldo Lazael ROMERO CRESPO,200-metres,male,CUB,20.61,No,5.8272424e-05,Yes,No,No,No
Zamarii SANDERS,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Zamarii SANDERS,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Jalen JOHNSON,200-metres,male,USA,20.61,No,5.8272424e-05,Yes,No,No,Unknown
Chidi OKEZIE,200-metres,male,NGR,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Adria ALFONSO,200-metres,male,ESP,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Kuron GRIFFITH,200-metres,male,BAR,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Youwen HUANG,200-metres,male,CHN,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Jalen JOHNSON,200-metres,male,USA,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Youwen HUANG,200-metres,male,CHN,20.62,No,5.8272424e-05,Yes,No,No,Unknown
José FIGUEROA,200-metres,male,PUR,20.62,No,5.8272424e-05,Yes,No,No,No
Eduard KUBELÍK,200-metres,male,CZE,20.62,No,5.8272424e-05,Yes,No,No,No
Abdulaziz Abdui ATAFI,200-metres,male,KSA,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Ji CHANG,200-metres,male,CHN,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Zharnel HUGHES,200-metres,male,GBR,20.62,No,5.8272424e-05,Yes,No,No,No
Richard AKINYEBO,200-metres,male,GBR,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Johnathan CRAWFORD,200-metres,male,USA,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Shanard WALKER,200-metres,male,USA,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Benjamin RICHARDSON,200-metres,male,RSA,20.62,No,5.8272424e-05,Yes,No,No,No
Towa UZAWA,200-metres,male,JPN,20.62,No,5.8272424e-05,Yes,No,No,No
Courtney LINDSEY,200-metres,male,USA,20.62,No,5.8272424e-05,Yes,No,No,No
Tsebo MATSOSO,200-metres,male,RSA,20.62,No,5.8272424e-05,Yes,No,No,No
Shawn BROWN,200-metres,male,USA,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Jalen JOHNSON,200-metres,male,USA,20.62,No,5.8272424e-05,Yes,No,No,Unknown
Bayanda WALAZA,200-metres,male,RSA,20.63,No,5.8272424e-05,Yes,No,No,Unknown
Bayanda WALAZA,200-metres,male,RSA,20.63,No,5.8272424e-05,Yes,No,No,Unknown
Bayanda WALAZA,200-metres,male,RSA,20.63,No,5.8272424e-05,Yes,No,No,Unknown
Tate TAYLOR,200-metres,male,USA,20.63,No,5.8272424e-05,Yes,No,No,Unknown
Paolo MESSINA,200-metres,male,ITA,20.63,No,5.8272424e-05,Yes,No,No,Unknown
Animesh KUJUR,200-metres,male,IND,20.63,No,5.8272424e-05,Yes,No,No,Unknown
Lidio Andres FELIZ,200-metres,male,DOM,20.63,No,5.8272424e-05,Yes,No,No,No
Bayanda WALAZA,200-metres,male,RSA,20.63,No,5.8272424e-05,Yes,No,No,Unknown
Dapriest HOGANS,200-metres,male,USA,20.63,No,5.8272424e-05,Yes,No,No,No
Trelee BANKS-ROSE,200-metres,male,USA,20.63,No,5.8272424e-05,Yes,No,No,Unknown
Ali DIABY,200-metres,male,USA,20.63,No,5.8272424e-05,Yes,No,No,Unknown
Bryan LEVELL,200-metres,male,JAM,20.63,No,5.8272424e-05,Yes,No,No,No
Taymir BURNET,200-metres,male,NED,20.63,No,5.8272424e-05,Yes,No,No,No
Ismael KONE,200-metres,male,CIV,20.63,No,5.8272424e-05,Yes,No,No,No
Calab LAW,200-metres,male,AUS,20.63,No,5.8272424e-05,Yes,No,No,No
