competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_World_Record_Breaker,Probability_World_Record_Breaker,World_Record_Correct,Actual_World_Record_Breaker,Actual_National_Record_Breaker,Actual_Personal_Best_Breaker
Sewmehon ANTENEH,5-kilometres,male,ETH,820.0,No,0.00082689326,Yes,No,No,Unknown
Abbabiya SIMBASSA,5-kilometres,male,USA,820.0,No,0.00082689326,Yes,No,No,Yes
Ferdinand Kvan EDMAN,5-kilometres,male,NOR,821.0,No,0.00082689326,Yes,No,No,Unknown
Kaisei OKADA,5-kilometres,male,JPN,821.0,No,0.00082689326,Yes,No,No,Unknown
Andrew BUTCHART,5-kilometres,male,GBR,821.0,No,0.00082689326,Yes,No,No,Unknown
Halefom TESFAYE,5-kilometres,male,ETH,822.0,No,0.00082689326,Yes,No,No,No
Kirubel ERASSA,5-kilometres,male,USA,822.0,No,0.00082689326,Yes,No,No,No
Mark PEARCE,5-kilometres,male,GBR,822.0,No,0.00082689326,Yes,No,No,Unknown
Francesco GUERRA,5-kilometres,male,ITA,822.0,No,0.00082689326,Yes,No,No,Unknown
Kasey KNEVELBAARD,5-kilometres,male,USA,823.0,No,0.00082689326,Yes,No,No,Yes
Skylar STIDAM,5-kilometres,male,USA,823.0,No,0.00082689326,Yes,No,No,Unknown
Alex RILEY,5-kilometres,male,GBR,823.0,No,0.00082689326,Yes,No,No,Unknown
Thomas BRIDGER,5-kilometres,male,GBR,823.0,No,0.00082689326,Yes,No,No,Unknown
Abdrselam WORKU,5-kilometres,male,ETH,823.0,No,0.00082689326,Yes,No,No,Unknown
Amos Kipkemboi BETT,5-kilometres,male,KEN,823.0,No,0.00082689326,Yes,No,No,Unknown
Shinsaku KUDO,5-kilometres,male,JPN,824.0,No,0.00082689326,Yes,No,No,Unknown
Brian BARRAZA,5-kilometres,male,USA,824.0,No,0.00082689326,Yes,No,No,Yes
Rei YAMAHIRA,5-kilometres,male,JPN,824.0,No,0.00082689326,Yes,No,No,Unknown
Nayabu Naoki YOSHIKURA,5-kilometres,male,JPN,824.0,No,0.00082689326,Yes,No,No,Unknown
Hayate HONMA,5-kilometres,male,JPN,824.0,No,0.00082689326,Yes,No,No,Unknown
